ID           Arch  What
C06M9KJUBJ6  -     Group: @hrusi @rebecca.hutson @lucy.wyatt
C06MHBXQ5PT  -     Group: @caroline.mwaura @dion.bailey @eros.espinola @hrusi
C06MJBMNX18  -     Group: @hrusi @dion.bailey @jackson.weimer @caroline.mwaura
C06MJEY4PU2  -     Group: @caroline.mwaura @hrusi @jackson.weimer
C06MNPCST5F  -     Group: @hrusi @william.hayes @monica.dimperio
C06MXUY67R7  -     #tech-tnm-rss-dev
C06NDH7TC4R  -     Group: @hrusi @diego.ribero @eros.espinola
C06PFDR8L78  -     #tech-tnm-rss-stg
C06PXMXMNTY  -     Group: @hrusi @diego.ribero @eros.espinola @ruben.felatana @roberto.galindo
C06Q1P9PKGX  arch  #recount-election (archived)
C06Q4B9GBC2  -     Group: @hrusi @diego.ribero @eros.espinola @ruben.felatana
C06QN29AZGD  -     #tech-publisher-audio
C06QS5CGM8Q  -     Group: @ruben.felatana @eros.espinola @hrusi
C06QUCNCQQL  arch  #pa-college-tour (archived)
C06QXF0P89Y  -     #tech-publisher-audio-uploads
C06R8NC2D5X  -     Group: @hrusi @dion.bailey @valentina.park @sahil.chandnani @jackson.weimer @wayne.farry @caroline.mwaura @eros.espinola
C06RT6E2UJX  -     Group: @valentina.park @dion.bailey @george.geddes @caroline.mwaura @wayne.farry @sahil.chandnani @hrusi
C06RT9WSAKC  -     Group: @valentina.park @dion.bailey @george.geddes @caroline.mwaura @wayne.farry @sahil.chandnani @hrusi @eros.espinola
C06TJ7P8SNS  -     #tnm-rss
C06TNR83U94  -     Group: @jemima.walker @hrusi @rebecca.hutson @dion.bailey @lucy.wyatt
C06U4D5D126  -     #testignore
C06U54KEPP0  -     Group: @brigid.chillemi @hrusi @lotte.jones @will.hamnett
C06UG4PF2JZ  -     Group: @valentina.park @vishal.sharma @sahil.chandnani @george.geddes @dion.bailey @wayne.farry @jackson.weimer @hrusi @eros.espinola
C06UJ8ADYPJ  -     Group: @jemima.walker @hrusi @rebecca.hutson @dion.bailey
C06UJLLNNGG  -     Group: @brigid.chillemi @hrusi @jemima.walker
C06UX1MV0TB  -     Group: @hrusi @ellie.leith @george.geddes
C06V0GGLMMH  -     Group: @hrusi @lucy.wyatt @dion.bailey
C06V10AL79Q  -     Group: @hrusi @eros.espinola @vishal.sharma
C06V7KU9E15  -     Group: @hrusi @vishal.sharma @ruben.felatana
C06V7RA8CRE  -     Group: @valentina.park @vishal.sharma @sahil.chandnani @george.geddes @dion.bailey @wayne.farry @jackson.weimer @hrusi
C07045A4GKY  -     Group: @hrusi @roberto.galindo @ruben.felatana @eros.espinola @vishal.sharma
C070GACKTD0  -     #salesforce-pardot-internal
C07144PQ9KP  arch  #recount-video-beat-stage (archived)
C071KF8TNEP  -     #dev-slack-bot
